                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.84584,                0.64157,                0.94266,                0.89083,                0.78363,                 0.9139,                0.60137,                0.84083,                0.78655,                0.97791,               0.001307,               0.001307,               0.001307
                    108,                 0.8754,                 0.6577,                0.95653,                0.89235,                0.78105,                0.91449,                0.59097,                0.88728,                0.78552,                0.99176,              0.0013004,              0.0013004,              0.0013004
                    109,                0.87464,                0.65087,                0.95688,                0.89292,                0.77942,                0.91582,                0.59609,                  0.839,                0.76433,                0.96417,              0.0012938,              0.0012938,              0.0012938
                    110,                0.84481,                0.64155,                0.94446,                0.89331,                0.78266,                0.91451,                0.59167,                0.84624,                0.76843,                0.97711,              0.0012872,              0.0012872,              0.0012872
                    111,                0.87436,                0.63585,                0.95785,                0.89045,                0.78233,                 0.9156,                0.59774,                0.81092,                0.78372,                0.94969,              0.0012806,              0.0012806,              0.0012806
                    112,                0.85202,                0.65896,                0.94785,                0.89422,                0.77936,                0.91176,                 0.6004,                0.79746,                0.77756,                0.95126,               0.001274,               0.001274,               0.001274
                    113,                0.85948,                 0.6245,                0.95242,                0.89055,                0.78133,                0.90433,                0.58828,                0.86449,                0.77242,                0.98862,              0.0012674,              0.0012674,              0.0012674
                    114,                0.84814,                 0.6364,                0.94497,                0.88683,                0.78266,                0.91302,                0.59523,                0.88308,                0.78185,                0.99759,              0.0012608,              0.0012608,              0.0012608
                    115,                0.85599,                0.64651,                0.94864,                0.89167,                0.77988,                0.90856,                0.59011,                0.84565,                0.80033,                0.96964,              0.0012542,              0.0012542,              0.0012542
                    116,                0.85469,                0.64694,                0.94856,                0.89161,                0.77941,                 0.9107,                0.59052,                0.80261,                0.78863,                0.96536,              0.0012476,              0.0012476,              0.0012476
                    117,                0.85718,                0.64727,                0.95402,                0.88605,                0.77721,                0.90914,                0.58819,                0.83841,                0.80374,                0.97505,               0.001241,               0.001241,               0.001241
                    118,                0.82938,                0.62572,                0.94849,                0.81103,                0.84635,                 0.9147,                0.57914,                0.82854,                0.79477,                0.98178,              0.0012344,              0.0012344,              0.0012344
                    119,                0.82659,                0.64422,                0.94351,                 0.8852,                0.77465,                0.90208,                0.57557,                0.81606,                0.77779,                0.97695,              0.0012278,              0.0012278,              0.0012278
                    120,                0.85936,                0.63162,                0.95772,                0.88832,                0.78425,                0.91069,                0.59106,                0.85155,                0.79329,                0.99537,              0.0012212,              0.0012212,              0.0012212
                    121,                0.86445,                0.65513,                0.95306,                0.88853,                0.77564,                0.91283,                0.60077,                0.82616,                0.79976,                0.96933,              0.0012146,              0.0012146,              0.0012146
                    122,                0.85883,                0.64194,                0.94498,                0.88968,                0.77721,                0.91092,                0.60602,                0.82746,                0.77793,                0.97209,               0.001208,               0.001208,               0.001208
                    123,                0.85736,                0.63947,                0.95194,                  0.892,                0.78233,                0.91231,                0.60389,                 0.8442,                0.79817,                0.97414,              0.0012014,              0.0012014,              0.0012014
                    124,                0.85772,                0.65455,                0.94766,                0.88835,                0.78445,                0.90948,                0.58762,                0.88412,                0.81472,                0.98783,              0.0011948,              0.0011948,              0.0011948
                    125,                0.85408,                0.62634,                0.94524,                0.88127,                0.78883,                0.91457,                0.59522,                0.82556,                 0.7796,                0.98171,              0.0011882,              0.0011882,              0.0011882
                    126,                 0.8536,                0.63264,                0.94998,                0.88244,                0.77849,                 0.9085,                0.59976,                0.85274,                0.77448,                0.98195,              0.0011816,              0.0011816,              0.0011816
