                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.76533,                0.32025,                 0.9111,                0.89844,                0.86589,                0.92038,                 0.6395,                  1.238,                0.60396,                0.96336,              0.0008318,              0.0008318,              0.0008318
                    121,                0.74015,                0.31121,                0.90396,                0.87474,                0.88254,                0.92414,                0.64319,                 1.2508,                0.59029,                0.97025,              0.0008219,              0.0008219,              0.0008219
                    122,                0.74411,                0.30708,                0.90292,                0.90722,                0.84539,                0.92187,                0.64058,                 1.2298,                0.59129,                 0.9578,               0.000812,               0.000812,               0.000812
                    123,                0.73812,                0.30944,                0.90135,                0.89267,                0.84829,                0.91971,                0.63729,                 1.2547,                0.61175,                0.95658,              0.0008021,              0.0008021,              0.0008021
                    124,                0.75214,                0.31757,                0.90277,                0.91565,                0.84339,                0.92256,                0.63305,                 1.2694,                0.58779,                0.95704,              0.0007922,              0.0007922,              0.0007922
                    125,                0.76058,                0.31459,                0.90441,                0.92502,                0.84522,                0.91967,                0.64072,                  1.257,                0.59215,                0.95208,              0.0007823,              0.0007823,              0.0007823
                    126,                0.74743,                0.30838,                0.91205,                 0.8932,                0.88581,                0.93251,                0.64272,                 1.2507,                0.58123,                0.95522,              0.0007724,              0.0007724,              0.0007724
                    127,                0.75849,                 0.3091,                0.89924,                0.90627,                0.88254,                0.93005,                0.64765,                 1.2485,                0.59453,                0.94731,              0.0007625,              0.0007625,              0.0007625
                    128,                0.74287,                0.30787,                0.90114,                 0.9004,                0.87276,                 0.9273,                0.64436,                 1.2367,                0.59167,                0.94231,              0.0007526,              0.0007526,              0.0007526
                    129,                0.74932,                0.30565,                0.90591,                0.91031,                0.84443,                0.92602,                0.63963,                 1.2584,                0.60255,                 0.9591,              0.0007427,              0.0007427,              0.0007427
                    130,                0.75944,                 0.3092,                0.90976,                0.95214,                0.81135,                0.92362,                0.64333,                 1.2264,                0.59546,                0.95362,              0.0007328,              0.0007328,              0.0007328
                    131,                0.72812,                0.30315,                0.90471,                0.94271,                0.83222,                0.92371,                0.64319,                 1.2231,                 0.5817,                0.95195,              0.0007229,              0.0007229,              0.0007229
                    132,                  0.748,                 0.3049,                0.90303,                0.90394,                0.85968,                0.92479,                0.64082,                 1.2495,                0.59834,                0.95564,               0.000713,               0.000713,               0.000713
                    133,                0.73287,                0.30753,                0.89934,                0.95503,                0.82055,                 0.9282,                0.64788,                 1.2227,                0.57413,                0.94482,              0.0007031,              0.0007031,              0.0007031
                    134,                 0.7649,                0.30895,                0.91501,                0.85818,                0.89233,                0.92714,                0.64826,                 1.2239,                0.59125,                0.94457,              0.0006932,              0.0006932,              0.0006932
                    135,                0.73803,                0.30452,                0.90709,                0.93139,                0.83687,                0.92694,                0.64862,                 1.2321,                0.59074,                0.94492,              0.0006833,              0.0006833,              0.0006833
                    136,                0.72252,                0.30562,                0.89974,                0.93162,                0.84461,                0.92621,                0.64211,                  1.251,                0.58492,                0.94384,              0.0006734,              0.0006734,              0.0006734
                    137,                0.74678,                0.30628,                 0.9079,                0.90965,                0.84502,                0.92189,                0.63931,                 1.2651,                0.58581,                0.94911,              0.0006635,              0.0006635,              0.0006635
                    138,                0.73448,                0.29925,                0.89906,                0.89029,                 0.8737,                0.92918,                0.64808,                 1.2508,                0.59452,                0.95257,              0.0006536,              0.0006536,              0.0006536
                    139,                 0.7435,                0.30442,                0.90417,                 0.8962,                0.87765,                0.92321,                0.64192,                 1.2412,                 0.6026,                0.95367,              0.0006437,              0.0006437,              0.0006437
                    140,                0.73766,                0.30329,                0.90506,                0.90221,                0.85481,                0.92469,                0.64382,                 1.2497,                0.60225,                0.95469,              0.0006338,              0.0006338,              0.0006338
                    141,                0.74157,                0.30372,                0.90554,                0.90293,                0.87276,                0.92706,                0.64697,                 1.2308,                0.58169,                 0.9511,              0.0006239,              0.0006239,              0.0006239
                    142,                0.73646,                0.30388,                0.90823,                0.89212,                0.87683,                0.92784,                0.64528,                 1.2387,                0.59044,                0.96033,               0.000614,               0.000614,               0.000614
                    143,                0.75175,                 0.3081,                0.91131,                0.90568,                0.86297,                0.92496,                0.64693,                  1.225,                0.59312,                 0.9553,              0.0006041,              0.0006041,              0.0006041
                    144,                0.73058,                0.30054,                0.90179,                0.90087,                0.87465,                0.93128,                0.64925,                 1.2152,                0.57005,                0.95003,              0.0005942,              0.0005942,              0.0005942
                    145,                0.74697,                0.30433,                0.90155,                0.91282,                0.87107,                0.92815,                0.64582,                 1.2261,                0.57593,                0.94968,              0.0005843,              0.0005843,              0.0005843
                    146,                0.74517,                0.30408,                0.90778,                 0.9156,                0.86786,                0.92261,                0.64028,                 1.2348,                0.58472,                0.94812,              0.0005744,              0.0005744,              0.0005744
                    147,                0.73132,                0.30147,                0.89981,                0.93143,                0.85318,                0.92838,                0.64522,                 1.2301,                0.57413,                0.94657,              0.0005645,              0.0005645,              0.0005645
                    148,                0.73948,                0.30043,                0.90728,                0.93083,                0.86297,                0.92746,                 0.6421,                 1.2213,                 0.5643,                0.94286,              0.0005546,              0.0005546,              0.0005546
                    149,                0.71636,                0.29759,                0.89635,                 0.9249,                0.88393,                0.93171,                0.64425,                 1.2321,                0.57004,                 0.9448,              0.0005447,              0.0005447,              0.0005447
                    150,                0.74416,                0.30472,                0.90531,                0.93244,                0.85562,                0.92723,                0.63987,                 1.2527,                0.58266,                0.95142,              0.0005348,              0.0005348,              0.0005348
                    151,                0.73675,                0.29606,                0.90486,                0.92525,                0.86832,                0.93283,                  0.646,                 1.2351,                0.57731,                0.94311,              0.0005249,              0.0005249,              0.0005249
                    152,                0.72925,                0.29664,                0.90258,                0.90959,                0.86984,                0.92982,                0.64801,                 1.2305,                 0.5781,                0.94402,               0.000515,               0.000515,               0.000515
                    153,                  0.741,                0.29999,                0.90282,                0.92861,                0.86949,                0.92852,                0.64199,                 1.2249,                 0.5678,                0.94557,              0.0005051,              0.0005051,              0.0005051
